PERNR	SUBTY	BEGDA	BETRG
241774	0015	26.11.2015	0000004042.66
241776	0015	26.11.2015	0000001375.50
241777	0015	26.11.2015	0000002422.06
241789	0015	26.11.2015	0000000945.28
241791	0015	26.11.2015	0000001505.14
241798	0015	26.11.2015	0000000215.72
241819	0015	26.11.2015	0000001274.43
241821	0015	26.11.2015	0000006423.56
241822	0015	26.11.2015	0000001505.89
241827	0015	26.11.2015	0000001903.82
241833	0015	26.11.2015	0000001839.45
241834	0015	26.11.2015	0000002623.15
241841	0015	26.11.2015	0000010184.29
241843	0015	26.11.2015	0000000878.08
241847	0015	26.11.2015	0000001269.72
241848	0015	26.11.2015	0000001632.01
241854	0015	26.11.2015	0000005911.51
241856	0015	26.11.2015	0000002714.97
241857	0015	26.11.2015	0000002206.98
241861	0015	26.11.2015	0000002713.82
241864	0015	26.11.2015	0000011127.22
241878	0015	26.11.2015	0000004601.22
241881	0015	26.11.2015	0000004705.95
241882	0015	26.11.2015	0000002043.19
241883	0015	26.11.2015	0000000902.33
241886	0015	26.11.2015	0000001960.45
241890	0015	26.11.2015	0000000280.44
241893	0015	26.11.2015	0000000198.65
241901	0015	26.11.2015	0000003714.02
241903	0015	26.11.2015	0000001415.19
241907	0015	26.11.2015	0000004567.56
241910	0015	26.11.2015	0000001224.92
241913	0015	26.11.2015	0000001363.38
241921	0015	26.11.2015	0000001237.24
241926	0015	26.11.2015	0000000951.27
241929	0015	26.11.2015	0000000543.21
241931	0015	26.11.2015	0000000514.61
241953	0015	26.11.2015	0000001845.18
241955	0015	26.11.2015	0000000799.53
241958	0015	26.11.2015	0000001543.85
241966	0015	26.11.2015	0000000275.43
241967	0015	26.11.2015	0000005859.01
241976	0015	26.11.2015	0000001018.28
241985	0015	26.11.2015	0000002107.62
241988	0015	26.11.2015	0000003033.62
241994	0015	26.11.2015	0000002274.16
241995	0015	26.11.2015	0000002296.41
242005	0015	26.11.2015	0000001221.72
242006	0015	26.11.2015	0000000781.35
242007	0015	26.11.2015	0000003237.73
242008	0015	26.11.2015	0000001538.33
242015	0015	26.11.2015	0000001262.79
242016	0015	26.11.2015	0000000555.19
242017	0015	26.11.2015	0000004214.70
242028	0015	26.11.2015	0000001985.60
242030	0015	26.11.2015	0000001061.13
242032	0015	26.11.2015	0000000630.06
242033	0015	26.11.2015	0000001600.22
242034	0015	26.11.2015	0000000060.70
242036	0015	26.11.2015	0000000656.66
242039	0015	26.11.2015	0000001263.61
242040	0015	26.11.2015	0000000926.78
242043	0015	26.11.2015	0000000827.29
242045	0015	26.11.2015	0000001361.12
242047	0015	26.11.2015	0000002386.47
242053	0015	26.11.2015	0000001012.06
242054	0015	26.11.2015	0000001018.39
242064	0015	26.11.2015	0000002296.27
242066	0015	26.11.2015	0000001675.62
242075	0015	26.11.2015	0000002107.17
242079	0015	26.11.2015	0000001835.73
242097	0015	26.11.2015	0000002294.10
242098	0015	26.11.2015	0000000106.16
242100	0015	26.11.2015	0000001601.29
242103	0015	26.11.2015	0000001543.21
242104	0015	26.11.2015	0000000911.72
242105	0015	26.11.2015	0000002174.40
242107	0015	26.11.2015	0000001278.06
242110	0015	26.11.2015	0000001995.01
242111	0015	26.11.2015	0000000611.41
242114	0015	26.11.2015	0000001853.30
242117	0015	26.11.2015	0000001085.52
242119	0015	26.11.2015	0000000649.60
242122	0015	26.11.2015	0000000633.25
242124	0015	26.11.2015	0000004667.00
242126	0015	26.11.2015	0000001679.89
242130	0015	26.11.2015	0000002482.06
242131	0015	26.11.2015	0000013795.46
242132	0015	26.11.2015	0000001019.57
242134	0015	26.11.2015	0000000933.58
242138	0015	26.11.2015	0000001294.49
242141	0015	26.11.2015	0000000893.40
242142	0015	26.11.2015	0000000550.00
242143	0015	26.11.2015	0000000509.78
242150	0015	26.11.2015	0000000709.57
242151	0015	26.11.2015	0000004493.60
242153	0015	26.11.2015	0000000947.10
242155	0015	26.11.2015	0000001632.70
242162	0015	26.11.2015	0000001204.64
242166	0015	26.11.2015	0000001306.67
242169	0015	26.11.2015	0000001057.34
242171	0015	26.11.2015	0000000396.35
242174	0015	26.11.2015	0000000991.23
242178	0015	26.11.2015	0000000928.88
242179	0015	26.11.2015	0000001275.59
242183	0015	26.11.2015	0000001390.17
242188	0015	26.11.2015	0000001309.30
242190	0015	26.11.2015	0000001833.32
242192	0015	26.11.2015	0000000580.48
242198	0015	26.11.2015	0000002119.59
242199	0015	26.11.2015	0000001494.56
242202	0015	26.11.2015	0000001067.62
242204	0015	26.11.2015	0000002565.97
242205	0015	26.11.2015	0000002266.53
242207	0015	26.11.2015	0000000880.87
242211	0015	26.11.2015	0000000540.02
242212	0015	26.11.2015	0000001134.20
242219	0015	26.11.2015	0000000955.27
242221	0015	26.11.2015	0000000731.08
242222	0015	26.11.2015	0000001154.42
242224	0015	26.11.2015	0000001573.20
242228	0015	26.11.2015	0000001331.89
242231	0015	26.11.2015	0000000642.91
242233	0015	26.11.2015	0000000918.84
242234	0015	26.11.2015	0000001373.72
242243	0015	26.11.2015	0000001078.11
242244	0015	26.11.2015	0000001064.48
242247	0015	26.11.2015	0000001483.72
242251	0015	26.11.2015	0000000533.98
242252	0015	26.11.2015	0000000935.65
242255	0015	26.11.2015	0000000791.56
242258	0015	26.11.2015	0000000656.92
242259	0015	26.11.2015	0000001220.29
242262	0015	26.11.2015	0000001144.13
242267	0015	26.11.2015	0000000849.25
242272	0015	26.11.2015	0000000680.64
242275	0015	26.11.2015	0000000669.92
242276	0015	26.11.2015	0000000628.21
242277	0015	26.11.2015	0000001171.74
242278	0015	26.11.2015	0000000507.75
242281	0015	26.11.2015	0000000717.32
242282	0015	26.11.2015	0000001337.40
242284	0015	26.11.2015	0000000836.28
242286	0015	26.11.2015	0000000753.85
242288	0015	26.11.2015	0000000818.76
242290	0015	26.11.2015	0000001167.76
242295	0015	26.11.2015	0000000172.34
242297	0015	26.11.2015	0000000999.04
242299	0015	26.11.2015	0000001609.25
242303	0015	26.11.2015	0000000717.15
242304	0015	26.11.2015	0000000441.37
242308	0015	26.11.2015	0000000429.63
242313	0015	26.11.2015	0000000792.54
242316	0015	26.11.2015	0000000705.71
242323	0015	26.11.2015	0000000198.92
242324	0015	26.11.2015	0000000739.93
242395	0015	26.11.2015	0000000254.79
241887	0015	26.11.2015	0000001703.70
240637	0015	26.11.2015	0000008620.75
241491	0015	26.11.2015	0000006418.86
